[2025-06-29 11:57:31] FAILED: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 11:57:36] FAILED: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 11:58:33] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 11:58:49] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 11:59:22] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:00:06] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:01:01] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:03:38] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:04:21] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:05:50] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:18:10] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:18:54] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-29 12:21:04] SUCCESS: admin from 127.0.0.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
